date,facility_id,facility_name,ward_id,sku_id,sku_name,units_used,on_hand,stock_in_transit,lead_time_days,batch_id,batch_expiry_date,price_per_unit,is_holiday,patient_admissions,VED_category,FSN_category
2024-01-01,FAC001,Urban PHC Kalyan,W03,MED001,Paracetamol Tablet 500mg,36,398,0,3,B0011753,2024-06-29,31.53,0,128,Vital,Fast
2024-01-01,FAC001,Urban PHC Kalyan,W03,MED002,Amoxicillin Capsule 250mg,27,232,0,2,B0021207,2024-03-31,26.05,0,82,Vital,Fast
2024-01-01,FAC001,Urban PHC Kalyan,W03,MED003,Oral Rehydration Salts,15,257,0,4,B0039863,2024-12-31,37.74,0,101,Vital,Fast
2024-01-01,FAC001,Urban PHC Kalyan,W03,MED004,Ibuprofen Tablet 200mg,20,492,0,2,B0045952,2025-12-31,19.58,0,128,Essential,Fast
2024-01-01,FAC001,Urban PHC Kalyan,W01,MED005,Cetirizine Tablet 5mg,54,351,0,2,B0051421,2024-03-31,19.65,0,93,Essential,Fast
2024-01-01,FAC001,Urban PHC Kalyan,W01,MED006,Insulin Injection 40 IU/ml,2,29,0,2,B0062418,2024-06-29,42.42,0,120,Vital,Slow
2024-01-01,FAC001,Urban PHC Kalyan,W03,MED007,Adrenaline Injection 1 mg/ml,1,47,0,3,B0072184,2025-12-31,33.05,0,123,Vital,Slow
2024-01-01,FAC001,Urban PHC Kalyan,W02,MED008,Omeprazole Capsule 20mg,6,61,0,3,B0086589,2024-06-29,3.13,0,108,Essential,Slow
2024-01-01,FAC001,Urban PHC Kalyan,W01,MED009,Metformin Tablet 500mg,11,74,39,5,B0096581,2024-06-29,12.48,0,129,Essential,Slow
2024-01-01,FAC001,Urban PHC Kalyan,W02,MED010,Multivitamin Tablet,6,75,0,3,B0108256,2024-12-31,6.09,0,71,Desirable,Slow
2024-01-01,FAC001,Urban PHC Kalyan,W03,MED011,Antiseptic Lotion,2,21,0,5,B0114592,2024-03-31,7.82,0,123,Desirable,Slow
2024-01-01,FAC001,Urban PHC Kalyan,W02,MED012,Cotton Roll 100g,7,307,158,4,B0124745,2024-12-31,2.86,0,126,Desirable,Fast
2024-01-01,FAC002,Rural PHC Dombivli,W02,MED001,Paracetamol Tablet 500mg,28,402,157,6,B0011175,2025-12-31,24.42,0,43,Vital,Fast
2024-01-01,FAC002,Rural PHC Dombivli,W01,MED002,Amoxicillin Capsule 250mg,29,386,0,7,B0022060,2024-06-29,30.82,0,63,Vital,Fast
2024-01-01,FAC002,Rural PHC Dombivli,W01,MED003,Oral Rehydration Salts,22,358,0,6,B0033353,2024-06-29,27.06,0,36,Vital,Fast
2024-01-01,FAC002,Rural PHC Dombivli,W02,MED004,Ibuprofen Tablet 200mg,28,172,0,9,B0043573,2024-06-29,13.63,0,45,Essential,Fast
2024-01-01,FAC002,Rural PHC Dombivli,W01,MED005,Cetirizine Tablet 5mg,9,314,144,6,B0054168,2024-03-31,6.92,0,64,Essential,Fast
2024-01-01,FAC002,Rural PHC Dombivli,W03,MED006,Insulin Injection 40 IU/ml,2,96,24,9,B0062642,2024-06-29,44.99,0,62,Vital,Slow
2024-01-01,FAC002,Rural PHC Dombivli,W01,MED007,Adrenaline Injection 1 mg/ml,1,92,0,8,B0076315,2024-06-29,31.22,0,44,Vital,Slow
2024-01-01,FAC002,Rural PHC Dombivli,W02,MED008,Omeprazole Capsule 20mg,5,82,25,10,B0085845,2024-06-29,9.37,0,58,Essential,Slow
2024-01-01,FAC002,Rural PHC Dombivli,W01,MED009,Metformin Tablet 500mg,9,40,39,5,B0099389,2024-12-31,3.59,0,49,Essential,Slow
2024-01-01,FAC002,Rural PHC Dombivli,W03,MED010,Multivitamin Tablet,5,33,41,8,B0102064,2024-12-31,4.21,0,35,Desirable,Slow
2024-01-01,FAC002,Rural PHC Dombivli,W03,MED011,Antiseptic Lotion,2,48,32,9,B0115373,2024-12-31,7.1,0,56,Desirable,Slow
2024-01-01,FAC002,Rural PHC Dombivli,W02,MED012,Cotton Roll 100g,6,134,0,7,B0126948,2025-12-31,7.04,0,60,Desirable,Fast
2024-01-01,FAC003,Peri-urban PHC Ambivali,W03,MED001,Paracetamol Tablet 500mg,29,211,0,7,B0017063,2024-06-29,14.09,0,64,Vital,Fast
2024-01-01,FAC003,Peri-urban PHC Ambivali,W02,MED002,Amoxicillin Capsule 250mg,27,392,0,5,B0021777,2024-03-31,28.01,0,47,Vital,Fast
2024-01-01,FAC003,Peri-urban PHC Ambivali,W03,MED003,Oral Rehydration Salts,12,245,0,7,B0039425,2024-12-31,29.53,0,61,Vital,Fast
2024-01-01,FAC003,Peri-urban PHC Ambivali,W01,MED004,Ibuprofen Tablet 200mg,20,469,80,7,B0042098,2024-06-29,11.71,0,40,Essential,Fast
2024-01-01,FAC003,Peri-urban PHC Ambivali,W01,MED005,Cetirizine Tablet 5mg,12,253,16,7,B0051544,2024-06-29,15.82,0,36,Essential,Fast
2024-01-01,FAC003,Peri-urban PHC Ambivali,W03,MED006,Insulin Injection 40 IU/ml,2,89,0,7,B0067816,2024-06-29,30.5,0,51,Vital,Slow
2024-01-01,FAC003,Peri-urban PHC Ambivali,W03,MED007,Adrenaline Injection 1 mg/ml,1,29,0,4,B0077420,2024-01-31,16.73,0,59,Vital,Slow
2024-01-01,FAC003,Peri-urban PHC Ambivali,W01,MED008,Omeprazole Capsule 20mg,5,97,0,4,B0082031,2024-03-01,6.92,0,47,Essential,Slow
2024-01-01,FAC003,Peri-urban PHC Ambivali,W02,MED009,Metformin Tablet 500mg,10,51,0,4,B0092965,2024-06-29,6.49,0,63,Essential,Slow
2024-01-01,FAC003,Peri-urban PHC Ambivali,W03,MED010,Multivitamin Tablet,4,100,0,3,B0105434,2024-03-01,8.83,0,43,Desirable,Slow
