date,sku_id,units_used,on_hand,stock_in_transit,lead_time_days,price_per_unit,is_holiday,patient_admissions,ved_category,fsn_category,days_cover,expiry_days_remaining,expiry_risk_bucket,sku_name,facility_id,facility_name,day_of_week,is_weekend,day_of_month,month,week_of_year,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_cv_7,rolling_cv_14,consumption_trend_7d,day_over_day_pct_change
01-01-2024,MED001,93,211,157,5.333333333,23.34666667,0,235,Vital,Fast,25.9122807,180,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,1,1,1,0,0,0,0,0,93,0,93,0,93,0,0,0,0,0
02-01-2024,MED001,117,133,32,5.333333333,35.32,0,169,Vital,Fast,13.49275362,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,2,1,1,93,0,0,0,0,105,16.97056275,105,16.97056275,105,16.97056275,0.162,0.162,0,0.258
03-01-2024,MED001,96,308,131,4.666666667,26.77,0,204,Vital,Fast,42.2745098,60,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,3,1,1,117,0,0,0,0,102,13.07669683,102,13.07669683,102,13.07669683,0.128,0.128,0,-0.179
04-01-2024,MED001,94,377,0,4,37.06333333,0,183,Vital,Fast,38.24637681,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,4,1,1,96,93,0,0,0,100,11.40175425,100,11.40175425,100,11.40175425,0.114,0.114,0,-0.021
05-01-2024,MED001,105,355,0,5.666666667,30.57666667,0,198,Vital,Fast,37.08955224,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,5,1,1,94,117,0,0,0,101,10.12422837,101,10.12422837,101,10.12422837,0.1,0.1,0,0.117
06-01-2024,MED001,69,211,168,5.333333333,31.39333333,1,208,Vital,Fast,27.35185185,90,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,6,1,1,105,96,0,0,0,95.66666667,15.89549202,95.66666667,15.89549202,95.66666667,15.89549202,0.166,0.166,0,-0.343
07-01-2024,MED001,113,449,106,6,36.14666667,1,202,Vital,Fast,60.44230769,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,7,1,1,69,94,0,0,0,98.14285714,15.9209356,98.14285714,15.9209356,98.14285714,15.9209356,0.162,0.162,-0.964,0.638
08-01-2024,MED001,80,224,23,6.333333333,17.64333333,0,203,Vital,Fast,31.36,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,8,1,2,113,105,93,0,0,96.28571429,17.31775857,95.875,16.0751583,95.875,16.0751583,0.18,0.168,-3.643,-0.292
09-01-2024,MED001,78,131,6,6.333333333,27.32,0,181,Vital,Fast,16.67272727,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,9,1,2,80,69,117,0,0,90.71428571,15.74499165,93.88888889,16.17439678,93.88888889,16.17439678,0.174,0.172,-2.643,-0.025
10-01-2024,MED001,73,120,0,6.333333333,28.30666667,0,211,Vital,Fast,16.15384615,180,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,10,1,2,78,113,96,0,0,87.42857143,16.82118845,91.8,16.61859735,91.8,16.61859735,0.192,0.181,-3.786,-0.064
11-01-2024,MED001,96,463,179,5.333333333,34.51666667,0,181,Vital,Fast,61.1509434,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,11,1,2,73,80,94,0,0,87.71428571,16.96775654,92.18181818,15.81656209,92.18181818,15.81656209,0.193,0.172,-1.929,0.315
12-01-2024,MED001,94,343,245,5.666666667,17.26,0,175,Vital,Fast,45.30188679,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,12,1,2,96,78,105,0,0,86.14285714,15.55022584,92.33333333,15.0896312,92.33333333,15.0896312,0.181,0.163,1.214,-0.021
13-01-2024,MED001,68,253,40,4,23.17,1,190,Vital,Fast,40.25,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,13,1,2,94,73,69,0,0,86,15.73742885,90.46153846,15.94582173,90.46153846,15.94582173,0.183,0.176,-3.179,-0.277
14-01-2024,MED001,62,130,232,4.333333333,32.05666667,1,195,Vital,Fast,21.1627907,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,14,1,2,68,96,113,0,0,78.71428571,12.65851868,88.42857143,17.10471948,88.42857143,17.10471948,0.161,0.193,-1.893,-0.088
15-01-2024,MED001,77,459,163,6.666666667,31.00666667,0,252,Vital,Fast,66.9375,30,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,15,1,3,62,94,80,93,0,78.28571429,12.65851868,87.28571429,17.30908419,87.66666667,16.74457979,0.162,0.198,-1.893,0.242
16-01-2024,MED001,78,415,0,5,33.85666667,0,170,Vital,Fast,61.80851064,60,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,16,1,3,77,68,78,117,0,78.28571429,12.65851868,84.5,15.1644828,87.0625,16.35631886,0.162,0.179,-1.964,0.013
17-01-2024,MED001,73,426,225,4.333333333,21.58666667,0,230,Vital,Fast,69.34883721,180,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,17,1,3,78,62,73,96,0,78.28571429,12.65851868,82.85714286,15.06834248,86.23529412,16.20003631,0.162,0.182,-3.286,-0.064
18-01-2024,MED001,84,300,153,4.666666667,30.6,0,238,Vital,Fast,32.30769231,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,18,1,3,73,77,96,94,0,76.57142857,10.48581809,82.14285714,14.7327847,86.11111111,15.72517236,0.137,0.179,-0.143,0.151
19-01-2024,MED001,87,279,0,6,32.92333333,0,166,Vital,Fast,36.16666667,180,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,19,1,3,84,78,94,105,0,75.57142857,8.734169353,80.85714286,13.30041725,86.15789474,15.28348113,0.116,0.164,3.464,0.036
20-01-2024,MED001,67,190,245,4.333333333,10.65,1,196,Vital,Fast,29.55555556,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,20,1,3,87,73,68,69,0,75.42857143,8.885515233,80.71428571,13.4474966,85.2,15.48037807,0.118,0.167,1.464,-0.23
21-01-2024,MED001,67,462,63,6.666666667,34.55333333,1,233,Vital,Fast,67.375,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,21,1,3,67,84,62,113,0,76.14285714,7.755182599,77.42857143,10.17322493,84.33333333,15.60235025,0.102,0.131,-1.357,0
22-01-2024,MED001,74,489,0,5.333333333,33.41666667,0,205,Vital,Fast,85.575,90,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,22,1,4,67,87,77,80,0,75.71428571,7.782764841,77,10.182942,83.86363636,15.38488886,0.103,0.132,-1.464,0.104
23-01-2024,MED001,74,215,0,4.333333333,37.59,0,214,Vital,Fast,32.0212766,60,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,23,1,4,74,67,78,78,0,75.14285714,7.733661734,76.71428571,10.20880895,83.43478261,15.17122302,0.103,0.133,-1.321,0
24-01-2024,MED001,90,345,0,6.666666667,19.57333333,0,226,Vital,Fast,49.28571429,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,24,1,4,74,67,73,73,0,77.57142857,9.43145699,77.92857143,10.73072,83.70833333,14.89814452,0.122,0.138,-0.036,0.216
25-01-2024,MED001,103,347,207,6.333333333,33.82,0,184,Vital,Fast,36.8030303,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,25,1,4,90,74,84,96,0,80.28571429,13.46246988,78.42857143,11.75201643,84.48,15.08619678,0.168,0.15,3.607,0.144
26-01-2024,MED001,139,489,35,6.333333333,25.71,0,208,Vital,Fast,48.9,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,26,1,4,103,74,87,94,0,87.71428571,26.15157284,81.64285714,19.76246303,86.57692308,18.24318629,0.298,0.242,10.857,0.35
27-01-2024,MED001,68,320,0,6,23.53333333,0,186,Vital,Fast,35,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,27,1,4,139,90,67,68,0,87.85714286,26.02196874,81.64285714,19.76246303,85.88888889,18.24266625,0.296,0.242,5.786,-0.511
28-01-2024,MED001,71,288,217,5.333333333,28.51,1,176,Vital,Fast,37.33333333,90,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,28,1,4,68,103,67,62,0,88.42857143,25.52682996,82.28571429,19.21309078,85.35714286,18.1214305,0.289,0.233,1,0.044
29-01-2024,MED001,82,474,0,5.333333333,37.10666667,0,187,Vital,Fast,57.20689655,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,29,1,5,71,139,74,77,0,89.57142857,24.94565522,82.64285714,19.15365859,85.24137931,17.80580799,0.279,0.232,-1.75,0.155
30-01-2024,MED001,83,129,307,4,49.06333333,0,191,Vital,Fast,18.06,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,30,1,5,82,68,74,78,0,90.85714286,24.23103087,83,19.10698624,85.16666667,17.5009031,0.267,0.23,-4.679,0.012
31-01-2024,MED001,146,326,41,5.333333333,23.30666667,0,206,Vital,Fast,38.03333333,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,31,1,5,83,71,90,73,93,98.85714286,31.92401693,88.21428571,25.16767943,86.93333333,20.70137982,0.323,0.285,1.107,0.759
